target,feature1,feature2,feature3,feature4,feature5,no_use_col
0,0.62968,0.47129,0.34326,0.22883,0.38267,9999
0,0.37251,0.3781,0.27941,0.74632,0.51044,9999
1,0.51107,0.51159,0.47409,0.34654,0.39853,9999
0,0.64932,0.52581,0.36714,0.20317,0.50647,9999
1,0.35676,0.42657,0.40487,0.6314,0.43897,9999
1,0.34905,0.72961,0.42063,0.30325,0.57263,9999
0,0.3259,0.54084,0.62009,0.42064,0.65099,9999
0,0.55276,0.32829,0.50054,0.51339,0.56894,9999
0,0.37349,0.41966,0.36348,0.4244,0.26362,9999
0,0.44772,0.45375,0.5646,0.41212,0.52677,9999
1,0.68937,0.524,0.55526,0.30805,0.45937,9999
0,0.3981,0.42504,0.49562,0.41703,0.62024,9999
0,0.33819,0.41945,0.41051,0.43531,0.61878,9999
0,0.46843,0.64767,0.34866,0.26078,0.44692,9999
1,0.41545,0.25561,0.55906,0.57169,0.39294,9999
0,0.50956,0.64884,0.51798,0.24043,0.59791,9999
0,0.39678,0.31956,0.5044,0.67546,0.52845,9999
1,0.53115,0.5206,0.44462,0.31541,0.48823,9999
1,0.53456,0.41777,0.59535,0.33448,0.43281,9999
0,0.37546,0.31961,0.59187,0.60147,0.49128,9999
1,0.48569,0.5247,0.28575,0.4368,0.51139,9999
0,0.47261,0.30128,0.44735,0.47393,0.48069,9999
0,0.36072,0.42227,0.51623,0.38545,0.43987,9999
0,0.55723,0.33349,0.47515,0.56828,0.44717,9999
0,0.66137,0.60131,0.55359,0.36902,0.60198,9999
0,0.33165,0.50584,0.39521,0.36921,0.49501,9999
0,0.36618,0.73135,0.53839,0.35575,0.63377,9999
1,0.41964,0.47854,0.5376,0.47081,0.58821,9999
1,0.50533,0.44799,0.3524,0.34457,0.62798,9999
0,0.44322,0.66648,0.52879,0.28934,0.40041,9999
0,0.60744,0.60747,0.75718,0.38398,0.42057,9999
0,0.50549,0.38264,0.45135,0.57642,0.5476,9999
0,0.37072,0.43762,0.5495,0.37756,0.32449,9999
1,0.55638,0.62366,0.56042,0.50711,0.42372,9999
1,0.37356,0.51502,0.67582,0.48182,0.37986,9999
0,0.18721,0.46938,0.38234,0.44889,0.48652,9999
0,0.53494,0.49913,0.50905,0.22564,0.58737,9999
0,0.42166,0.40869,0.4392,0.39749,0.49967,9999
0,0.27336,0.38596,0.30723,0.59102,0.57913,9999
0,0.49135,0.22357,0.57051,0.50929,0.50199,9999
1,0.31942,0.38259,0.39165,0.58736,0.42424,9999
0,0.49678,0.42125,0.43541,0.47363,0.71372,9999
1,0.42756,0.699,0.59264,0.35517,0.39139,9999
1,0.46738,0.3405,0.50217,0.30267,0.57967,9999
0,0.40578,0.5779,0.52876,0.31726,0.45955,9999
0,0.70986,0.41639,0.49869,0.52346,0.3758,9999
0,0.40874,0.42272,0.54378,0.49438,0.54458,9999
0,0.57802,0.68116,0.44338,0.38796,0.61892,9999
1,0.44375,0.59675,0.24741,0.38462,0.6115,9999
1,0.39753,0.39203,0.40217,0.58749,0.60701,9999
0,0.48652,0.37161,0.60368,0.47025,0.4044,9999
1,0.35412,0.48748,0.42337,0.46146,0.43348,9999
0,0.43306,0.4469,0.3939,0.45785,0.50272,9999
0,0.51963,0.52636,0.48795,0.3804,0.72295,9999
1,0.31719,0.31405,0.41302,0.56295,0.51932,9999
1,0.2844,0.40549,0.55103,0.42316,0.47817,9999
1,0.35502,0.56985,0.4521,0.35249,0.50321,9999
1,0.44039,0.46183,0.5132,0.60761,0.73957,9999
1,0.39966,0.42203,0.62064,0.57683,0.44154,9999
0,0.36918,0.51112,0.36096,0.38291,0.47278,9999
1,0.31788,0.42842,0.45088,0.46131,0.6136,9999
1,0.55176,0.48764,0.44462,0.39247,0.34416,9999
1,0.25914,0.53155,0.40038,0.40529,0.58889,9999
1,0.28517,0.35074,0.42998,0.63802,0.59979,9999
0,0.44154,0.54054,0.29145,0.44833,0.33321,9999
1,0.45421,0.30064,0.51896,0.47924,0.57077,9999
0,0.24287,0.44231,0.58298,0.66633,0.35664,9999
1,0.36872,0.30776,0.6662,0.70106,0.44278,9999
1,0.54191,0.38931,0.60695,0.50818,0.66979,9999
0,0.44929,0.28828,0.48137,0.46718,0.40198,9999
0,0.45434,0.42634,0.44886,0.28565,0.45933,9999
1,0.16227,0.39073,0.17604,0.5689,0.57344,9999
0,0.51624,0.65353,0.52143,0.46399,0.27679,9999
0,0.23702,0.39789,0.37947,0.56518,0.50665,9999
1,0.66745,0.26735,0.47737,0.51328,0.50958,9999
1,0.55807,0.4709,0.35589,0.45734,0.58471,9999
1,0.46048,0.54167,0.49303,0.33884,0.61242,9999
1,0.50425,0.4665,0.49274,0.43439,0.59844,9999
1,0.41967,0.61022,0.37172,0.40318,0.53667,9999
0,0.48717,0.28982,0.38631,0.58569,0.46994,9999
1,0.32068,0.51158,0.43843,0.45047,0.42449,9999
1,0.56738,0.39631,0.74139,0.46365,0.48207,9999
0,0.63716,0.32918,0.48854,0.48737,0.40532,9999
1,0.50581,0.5518,0.6312,0.33579,0.54433,9999
0,0.49562,0.42847,0.42311,0.30094,0.45937,9999
1,0.63008,0.41155,0.44461,0.41643,0.45122,9999
1,0.31183,0.60755,0.61131,0.29718,0.35913,9999
0,0.73354,0.26522,0.41579,0.61655,0.49473,9999
1,0.45177,0.49313,0.4612,0.47535,0.639,9999
1,0.57163,0.48924,0.6721,0.43799,0.37263,9999
1,0.44109,0.38562,0.60703,0.489,0.56904,9999
1,0.38606,0.41968,0.46322,0.43367,0.56206,9999
0,0.92232,0.45837,0.71068,0.44436,0.3456,9999
